idestudiante;almuerzo;Curso de preparacion para examenes;Nivel de educacion de los padres;Raza/etnia
10011505;Gratis/Reducido;ninguna;maestria;group D
10011506;Pago/Premiun;ninguna;algun instituto;group B
10011507;Pago/Premiun;ninguna;escuela secundaria;group A
10011508;Gratis/Reducido;ninguna;licenciatura;group B
10011509;Pago/Premiun;ninguna;maestria;group C
10011510;Pago/Premiun;ninguna;licenciatura;group C
10011511;Pago/Premiun;ninguna;alguna educacion superior;group D
10011512;Pago/Premiun;ninguna;algun instituto;group A
10011513;Gratis/Reducido;ninguna;algun instituto;group D
10011514;Pago/Premiun;completado;algun instituto;group B
10011515;Gratis/Reducido;completado;maestria;group B
10011516;Pago/Premiun;completado;algun instituto;group C
10011517;Pago/Premiun;ninguna;alguna educacion superior;group D
10011518;Pago/Premiun;completado;alguna educacion superior;group E
10011519;Pago/Premiun;completado;algun instituto;group D
10011520;Gratis/Reducido;completado;escuela secundaria;group B
10011521;Pago/Premiun;ninguna;alguna educacion superior;group D
10011522;Pago/Premiun;ninguna;grado asociado;group C
10011523;Pago/Premiun;ninguna;licenciatura;group D
10011524;Gratis/Reducido;ninguna;maestria;group C
10011525;Pago/Premiun;completado;escuela secundaria;group C
10011526;Pago/Premiun;ninguna;alguna educacion superior;group E
10011527;Gratis/Reducido;completado;algun instituto;group C
10011528;Gratis/Reducido;ninguna;escuela secundaria;group C
10011529;Gratis/Reducido;ninguna;licenciatura;group D
10011530;Pago/Premiun;ninguna;grado asociado;group C
10011531;Pago/Premiun;completado;grado asociado;group C
10011532;Pago/Premiun;ninguna;algun instituto;group C
10011533;Pago/Premiun;completado;grado asociado;group E
10011534;Pago/Premiun;completado;grado asociado;group E
10011535;Pago/Premiun;completado;escuela secundaria;group B
10011536;Gratis/Reducido;completado;licenciatura;group C
10011537;Pago/Premiun;completado;grado asociado;group C
10011538;Pago/Premiun;ninguna;escuela secundaria;group D
10011539;Pago/Premiun;completado;licenciatura;group E
10011540;Pago/Premiun;completado;grado asociado;group A
10011541;Pago/Premiun;completado;escuela secundaria;group C
10011542;Gratis/Reducido;completado;grado asociado;group D
10011543;Pago/Premiun;ninguna;grado asociado;group C
10011544;Pago/Premiun;ninguna;grado asociado;group D
10011545;Pago/Premiun;ninguna;maestria;group D
10011546;Gratis/Reducido;completado;algun instituto;group E
10011547;Pago/Premiun;completado;algun instituto;group A
10011548;Pago/Premiun;completado;escuela secundaria;group C
10011549;Gratis/Reducido;ninguna;escuela secundaria;group C
10011550;Pago/Premiun;ninguna;maestria;group C
10011551;Gratis/Reducido;ninguna;algun instituto;group C
10011552;Gratis/Reducido;completado;licenciatura;group B
10011553;Pago/Premiun;ninguna;grado asociado;group B
10011554;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011555;Pago/Premiun;ninguna;grado asociado;group E
10011556;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011557;Pago/Premiun;completado;grado asociado;group C
10011558;Gratis/Reducido;ninguna;maestria;group C
10011559;Gratis/Reducido;ninguna;grado asociado;group B
10011560;Pago/Premiun;ninguna;algun instituto;group D
10011561;Pago/Premiun;completado;alguna educacion superior;group D
10011562;Pago/Premiun;ninguna;alguna educacion superior;group C
10011563;Pago/Premiun;completado;licenciatura;group C
10011564;Gratis/Reducido;completado;alguna educacion superior;group D
10011565;Gratis/Reducido;ninguna;licenciatura;group B
10011566;Pago/Premiun;ninguna;grado asociado;group B
10011567;Gratis/Reducido;completado;licenciatura;group E
10011568;Gratis/Reducido;completado;maestria;group D
10011569;Gratis/Reducido;ninguna;escuela secundaria;group B
10011570;Gratis/Reducido;ninguna;licenciatura;group D
10011571;Pago/Premiun;completado;alguna educacion superior;group B
10011572;Pago/Premiun;ninguna;licenciatura;group A
10011573;Pago/Premiun;ninguna;alguna educacion superior;group C
10011574;Gratis/Reducido;completado;escuela secundaria;group C
10011575;Pago/Premiun;ninguna;escuela secundaria;group E
10011576;Gratis/Reducido;completado;grado asociado;group A
10011577;Pago/Premiun;completado;alguna educacion superior;group A
10011578;Pago/Premiun;ninguna;escuela secundaria;group B
10011579;Gratis/Reducido;completado;alguna educacion superior;group B
10011580;Pago/Premiun;ninguna;maestria;group D
10011581;Pago/Premiun;ninguna;algun instituto;group D
10011582;Pago/Premiun;ninguna;algun instituto;group E
10011583;Gratis/Reducido;ninguna;licenciatura;group D
10011584;Pago/Premiun;completado;grado asociado;group D
10011585;Pago/Premiun;ninguna;alguna educacion superior;group D
10011586;Pago/Premiun;ninguna;grado asociado;group C
10011587;Pago/Premiun;ninguna;escuela secundaria;group A
10011588;Gratis/Reducido;ninguna;licenciatura;group C
10011589;Pago/Premiun;ninguna;alguna educacion superior;group C
10011590;Pago/Premiun;ninguna;algun instituto;group A
10011591;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011592;Pago/Premiun;ninguna;algun instituto;group A
10011593;Pago/Premiun;ninguna;licenciatura;group E
10011594;Pago/Premiun;ninguna;escuela secundaria;group E
10011595;Pago/Premiun;completado;licenciatura;group C
10011596;Pago/Premiun;completado;licenciatura;group C
10011597;Gratis/Reducido;ninguna;escuela secundaria;group B
10011598;Pago/Premiun;ninguna;algun instituto;group A
10011599;Pago/Premiun;ninguna;escuela secundaria;group D
10011600;Pago/Premiun;ninguna;algun instituto;group D
10011601;Pago/Premiun;ninguna;maestria;group D
10011602;Pago/Premiun;ninguna;escuela secundaria;group C
10011603;Pago/Premiun;ninguna;alguna educacion superior;group E
10011604;Gratis/Reducido;ninguna;escuela secundaria;group D
10011605;Gratis/Reducido;completado;maestria;group D
10011606;Pago/Premiun;ninguna;algun instituto;group C
10011607;Pago/Premiun;ninguna;grado asociado;group C
10011608;Gratis/Reducido;ninguna;maestria;group C
10011609;Pago/Premiun;ninguna;alguna educacion superior;group E
10011610;Pago/Premiun;ninguna;grado asociado;group B
10011611;Gratis/Reducido;completado;alguna educacion superior;group D
10011612;Pago/Premiun;ninguna;alguna educacion superior;group C
10011613;Pago/Premiun;completado;licenciatura;group C
10011614;Pago/Premiun;ninguna;grado asociado;group C
10011615;Pago/Premiun;ninguna;grado asociado;group A
10011616;Pago/Premiun;ninguna;escuela secundaria;group C
10011617;Pago/Premiun;ninguna;licenciatura;group E
10011618;Pago/Premiun;ninguna;licenciatura;group D
10011619;Pago/Premiun;ninguna;maestria;group D
10011620;Gratis/Reducido;completado;grado asociado;group C
10011621;Gratis/Reducido;ninguna;escuela secundaria;group C
10011622;Gratis/Reducido;ninguna;licenciatura;group B
10011623;Gratis/Reducido;completado;escuela secundaria;group C
10011624;Pago/Premiun;completado;alguna educacion superior;group A
10011625;Gratis/Reducido;ninguna;licenciatura;group E
10011626;Pago/Premiun;completado;alguna educacion superior;group D
10011627;Gratis/Reducido;completado;grado asociado;group B
10011628;Pago/Premiun;ninguna;grado asociado;group D
10011629;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011630;Pago/Premiun;completado;algun instituto;group C
10011631;Pago/Premiun;ninguna;alguna educacion superior;group D
10011632;Pago/Premiun;ninguna;escuela secundaria;group B
10011633;Pago/Premiun;completado;licenciatura;group B
10011634;Pago/Premiun;ninguna;escuela secundaria;group C
10011635;Pago/Premiun;ninguna;algun instituto;group D
10011636;Pago/Premiun;ninguna;escuela secundaria;group A
10011637;Gratis/Reducido;completado;escuela secundaria;group B
10011638;Pago/Premiun;completado;algun instituto;group D
10011639;Pago/Premiun;ninguna;alguna educacion superior;group E
10011640;Pago/Premiun;ninguna;grado asociado;group D
10011641;Pago/Premiun;ninguna;escuela secundaria;group D
10011642;Gratis/Reducido;completado;grado asociado;group D
10011643;Gratis/Reducido;ninguna;algun instituto;group B
10011644;Pago/Premiun;completado;escuela secundaria;group E
10011645;Pago/Premiun;ninguna;escuela secundaria;group B
10011646;Pago/Premiun;completado;licenciatura;group B
10011647;Pago/Premiun;ninguna;grado asociado;group D
10011648;Gratis/Reducido;ninguna;escuela secundaria;group E
10011649;Pago/Premiun;ninguna;escuela secundaria;group B
10011650;Pago/Premiun;completado;alguna educacion superior;group D
10011651;Gratis/Reducido;completado;algun instituto;group C
10011652;Pago/Premiun;completado;escuela secundaria;group A
10011653;Pago/Premiun;completado;alguna educacion superior;group D
10011654;Pago/Premiun;completado;grado asociado;group A
10011655;Pago/Premiun;ninguna;algun instituto;group B
10011656;Pago/Premiun;ninguna;alguna educacion superior;group B
10011657;Gratis/Reducido;ninguna;grado asociado;group C
10011658;Pago/Premiun;ninguna;algun instituto;group D
10011659;Gratis/Reducido;ninguna;grado asociado;group D
10011660;Pago/Premiun;ninguna;grado asociado;group D
10011661;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011662;Pago/Premiun;ninguna;algun instituto;group C
10011663;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011664;Pago/Premiun;ninguna;escuela secundaria;group C
10011665;Pago/Premiun;ninguna;grado asociado;group D
10011666;Gratis/Reducido;completado;algun instituto;group C
10011667;Gratis/Reducido;completado;alguna educacion superior;group C
10011668;Gratis/Reducido;ninguna;licenciatura;group B
10011669;Pago/Premiun;ninguna;alguna educacion superior;group C
10011670;Pago/Premiun;completado;grado asociado;group D
10011671;Gratis/Reducido;ninguna;escuela secundaria;group C
10011672;Gratis/Reducido;ninguna;grado asociado;group D
10011673;Pago/Premiun;ninguna;alguna educacion superior;group C
10011674;Pago/Premiun;completado;grado asociado;group C
10011675;Pago/Premiun;completado;escuela secundaria;group D
10011676;Pago/Premiun;completado;alguna educacion superior;group B
10011677;Pago/Premiun;completado;alguna educacion superior;group E
10011678;Pago/Premiun;completado;algun instituto;group C
10011679;Gratis/Reducido;ninguna;grado asociado;group D
10011680;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011681;Pago/Premiun;ninguna;escuela secundaria;group D
10011682;Pago/Premiun;ninguna;escuela secundaria;group B
10011683;Pago/Premiun;ninguna;escuela secundaria;group B
10011684;Gratis/Reducido;completado;algun instituto;group C
10011685;Pago/Premiun;completado;alguna educacion superior;group B
10011686;Pago/Premiun;completado;maestria;group E
10011687;Pago/Premiun;completado;alguna educacion superior;group E
10011688;Gratis/Reducido;ninguna;grado asociado;group D
10011689;Gratis/Reducido;ninguna;escuela secundaria;group A
10011690;Gratis/Reducido;ninguna;alguna educacion superior;group E
10011691;Pago/Premiun;ninguna;grado asociado;group C
10011692;Gratis/Reducido;ninguna;grado asociado;group E
10011693;Gratis/Reducido;completado;licenciatura;group C
10011694;Pago/Premiun;ninguna;grado asociado;group D
10011695;Pago/Premiun;ninguna;algun instituto;group C
10011696;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011697;Pago/Premiun;completado;grado asociado;group C
10011698;Pago/Premiun;ninguna;licenciatura;group A
10011699;Pago/Premiun;completado;grado asociado;group D
10011700;Gratis/Reducido;ninguna;escuela secundaria;group C
10011701;Pago/Premiun;completado;licenciatura;group E
10011702;Pago/Premiun;ninguna;algun instituto;group B
10011703;Pago/Premiun;completado;licenciatura;group A
10011704;Pago/Premiun;ninguna;alguna educacion superior;group D
10011705;Gratis/Reducido;completado;algun instituto;group B
10011706;Gratis/Reducido;ninguna;licenciatura;group A
10011707;Pago/Premiun;ninguna;escuela secundaria;group D
10011708;Pago/Premiun;ninguna;alguna educacion superior;group C
10011709;Pago/Premiun;ninguna;escuela secundaria;group D
10011710;Gratis/Reducido;completado;grado asociado;group D
10011711;Pago/Premiun;completado;alguna educacion superior;group C
10011712;Pago/Premiun;completado;algun instituto;group E
10011713;Pago/Premiun;ninguna;alguna educacion superior;group D
10011714;Pago/Premiun;ninguna;maestria;group D
10011715;Pago/Premiun;completado;algun instituto;group B
10011716;Gratis/Reducido;completado;grado asociado;group B
10011717;Pago/Premiun;completado;grado asociado;group C
10011718;Pago/Premiun;completado;grado asociado;group C
10011719;Pago/Premiun;ninguna;escuela secundaria;group C
10011720;Gratis/Reducido;completado;grado asociado;group E
10011721;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011722;Gratis/Reducido;completado;algun instituto;group D
10011723;Gratis/Reducido;completado;algun instituto;group B
10011724;Pago/Premiun;ninguna;escuela secundaria;group C
10011725;Pago/Premiun;ninguna;alguna educacion superior;group B
10011726;Pago/Premiun;completado;alguna educacion superior;group E
10011727;Pago/Premiun;completado;grado asociado;group E
10011728;Pago/Premiun;completado;algun instituto;group E
10011729;Gratis/Reducido;ninguna;escuela secundaria;group D
10011730;Pago/Premiun;ninguna;alguna educacion superior;group C
10011731;Gratis/Reducido;completado;grado asociado;group B
10011732;Gratis/Reducido;ninguna;algun instituto;group A
10011733;Pago/Premiun;completado;alguna educacion superior;group C
10011734;Pago/Premiun;ninguna;algun instituto;group D
10011735;Gratis/Reducido;ninguna;alguna educacion superior;group E
10011736;Pago/Premiun;ninguna;maestria;group C
10011737;Pago/Premiun;ninguna;grado asociado;group C
10011738;Gratis/Reducido;completado;alguna educacion superior;group B
10011739;Pago/Premiun;ninguna;grado asociado;group D
10011740;Gratis/Reducido;ninguna;escuela secundaria;group C
10011741;Pago/Premiun;ninguna;licenciatura;group D
10011742;Gratis/Reducido;ninguna;grado asociado;group A
10011743;Pago/Premiun;ninguna;escuela secundaria;group C
10011744;Pago/Premiun;completado;grado asociado;group C
10011745;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011746;Pago/Premiun;ninguna;grado asociado;group D
10011747;Pago/Premiun;ninguna;escuela secundaria;group D
10011748;Pago/Premiun;ninguna;alguna educacion superior;group C
10011749;Gratis/Reducido;ninguna;licenciatura;group C
10011750;Pago/Premiun;completado;alguna educacion superior;group B
10011751;Pago/Premiun;completado;algun instituto;group D
10011752;Pago/Premiun;ninguna;alguna educacion superior;group E
10011753;Gratis/Reducido;completado;maestria;group C
10011754;Pago/Premiun;completado;algun instituto;group C
10011755;Gratis/Reducido;ninguna;grado asociado;group C
10011756;Pago/Premiun;ninguna;grado asociado;group E
10011757;Pago/Premiun;ninguna;alguna educacion superior;group D
10011758;Gratis/Reducido;completado;licenciatura;group E
10011759;Gratis/Reducido;completado;alguna educacion superior;group D
10011760;Pago/Premiun;completado;alguna educacion superior;group B
10011761;Gratis/Reducido;ninguna;escuela secundaria;group C
10011762;Pago/Premiun;ninguna;algun instituto;group D
10011763;Pago/Premiun;completado;algun instituto;group D
10011764;Pago/Premiun;ninguna;escuela secundaria;group B
10011765;Pago/Premiun;ninguna;alguna educacion superior;group D
10011766;Pago/Premiun;ninguna;escuela secundaria;group B
10011767;Pago/Premiun;completado;escuela secundaria;group C
10011768;Pago/Premiun;completado;escuela secundaria;group B
10011769;Pago/Premiun;ninguna;algun instituto;group D
10011770;Gratis/Reducido;ninguna;alguna educacion superior;group A
10011771;Pago/Premiun;ninguna;escuela secundaria;group B
10011772;Pago/Premiun;ninguna;licenciatura;group D
10011773;Gratis/Reducido;completado;algun instituto;group B
10011774;Gratis/Reducido;ninguna;licenciatura;group C
10011775;Pago/Premiun;ninguna;alguna educacion superior;group B
10011776;Gratis/Reducido;ninguna;algun instituto;group B
10011777;Pago/Premiun;ninguna;escuela secundaria;group B
10011778;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011779;Pago/Premiun;completado;alguna educacion superior;group A
10011780;Pago/Premiun;completado;grado asociado;group E
10011781;Gratis/Reducido;ninguna;grado asociado;group D
10011782;Pago/Premiun;ninguna;maestria;group B
10011783;Gratis/Reducido;completado;escuela secundaria;group B
10011784;Pago/Premiun;completado;grado asociado;group C
10011785;Pago/Premiun;completado;licenciatura;group C
10011786;Pago/Premiun;completado;algun instituto;group B
10011787;Gratis/Reducido;ninguna;algun instituto;group E
10011788;Pago/Premiun;ninguna;alguna educacion superior;group B
10011789;Gratis/Reducido;ninguna;grado asociado;group C
10011790;Gratis/Reducido;ninguna;maestria;group C
10011791;Pago/Premiun;ninguna;escuela secundaria;group B
10011792;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011793;Gratis/Reducido;ninguna;escuela secundaria;group D
10011794;Pago/Premiun;completado;algun instituto;group E
10011795;Pago/Premiun;ninguna;escuela secundaria;group B
10011796;Gratis/Reducido;completado;grado asociado;group E
10011797;Pago/Premiun;ninguna;escuela secundaria;group D
10011798;Gratis/Reducido;ninguna;grado asociado;group E
10011799;Pago/Premiun;ninguna;alguna educacion superior;group E
10011800;Pago/Premiun;ninguna;grado asociado;group C
10011801;Pago/Premiun;completado;algun instituto;group C
10011802;Pago/Premiun;completado;algun instituto;group C
10011803;Pago/Premiun;ninguna;grado asociado;group E
10011804;Pago/Premiun;ninguna;alguna educacion superior;group B
10011805;Pago/Premiun;ninguna;alguna educacion superior;group C
10011806;Gratis/Reducido;ninguna;alguna educacion superior;group A
10011807;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011808;Gratis/Reducido;ninguna;escuela secundaria;group E
10011809;Pago/Premiun;ninguna;escuela secundaria;group C
10011810;Pago/Premiun;ninguna;licenciatura;group B
10011811;Pago/Premiun;ninguna;algun instituto;group A
10011812;Gratis/Reducido;ninguna;escuela secundaria;group A
10011813;Pago/Premiun;completado;maestria;group C
10011814;Pago/Premiun;completado;algun instituto;group E
10011815;Pago/Premiun;ninguna;escuela secundaria;group C
10011816;Pago/Premiun;completado;algun instituto;group B
10011817;Pago/Premiun;ninguna;licenciatura;group A
10011818;Gratis/Reducido;completado;licenciatura;group D
10011819;Gratis/Reducido;ninguna;escuela secundaria;group B
10011820;Pago/Premiun;ninguna;algun instituto;group C
10011821;Pago/Premiun;completado;algun instituto;group A
10011822;Gratis/Reducido;ninguna;licenciatura;group D
10011823;Gratis/Reducido;completado;alguna educacion superior;group E
10011824;Gratis/Reducido;ninguna;escuela secundaria;group B
10011825;Gratis/Reducido;ninguna;algun instituto;group C
10011826;Pago/Premiun;ninguna;escuela secundaria;group C
10011827;Gratis/Reducido;completado;grado asociado;group C
10011828;Pago/Premiun;ninguna;algun instituto;group C
10011829;Gratis/Reducido;completado;algun instituto;group D
10011830;Pago/Premiun;ninguna;algun instituto;group B
10011831;Gratis/Reducido;ninguna;alguna educacion superior;group A
10011832;Gratis/Reducido;completado;licenciatura;group C
10011833;Pago/Premiun;ninguna;licenciatura;group A
10011834;Pago/Premiun;completado;escuela secundaria;group B
10011835;Pago/Premiun;ninguna;alguna educacion superior;group B
10011836;Pago/Premiun;completado;escuela secundaria;group C
10011837;Pago/Premiun;ninguna;escuela secundaria;group E
10011838;Pago/Premiun;completado;escuela secundaria;group A
10011839;Gratis/Reducido;completado;grado asociado;group B
10011840;Pago/Premiun;ninguna;grado asociado;group C
10011841;Gratis/Reducido;ninguna;escuela secundaria;group D
10011842;Pago/Premiun;ninguna;algun instituto;group C
10011843;Gratis/Reducido;completado;escuela secundaria;group B
10011844;Gratis/Reducido;completado;alguna educacion superior;group B
10011845;Gratis/Reducido;completado;algun instituto;group D
10011846;Pago/Premiun;ninguna;maestria;group E
10011847;Pago/Premiun;completado;maestria;group C
10011848;Pago/Premiun;ninguna;escuela secundaria;group D
10011849;Pago/Premiun;ninguna;escuela secundaria;group C
10011850;Pago/Premiun;ninguna;grado asociado;group D
10011851;Pago/Premiun;ninguna;maestria;group C
10011852;Pago/Premiun;ninguna;escuela secundaria;group A
10011853;Pago/Premiun;ninguna;alguna educacion superior;group E
10011854;Pago/Premiun;ninguna;algun instituto;group E
10011855;Pago/Premiun;ninguna;algun instituto;group C
10011856;Pago/Premiun;ninguna;licenciatura;group B
10011857;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011858;Pago/Premiun;ninguna;licenciatura;group C
10011859;Pago/Premiun;completado;escuela secundaria;group B
10011860;Gratis/Reducido;ninguna;grado asociado;group C
10011861;Pago/Premiun;ninguna;grado asociado;group C
10011862;Gratis/Reducido;ninguna;maestria;group E
10011863;Gratis/Reducido;completado;licenciatura;group D
10011864;Pago/Premiun;completado;alguna educacion superior;group C
10011865;Pago/Premiun;ninguna;grado asociado;group C
10011866;Pago/Premiun;completado;alguna educacion superior;group D
10011867;Gratis/Reducido;ninguna;escuela secundaria;group C
10011868;Pago/Premiun;ninguna;grado asociado;group B
10011869;Gratis/Reducido;completado;grado asociado;group E
10011870;Gratis/Reducido;ninguna;grado asociado;group C
10011871;Pago/Premiun;ninguna;escuela secundaria;group B
10011872;Pago/Premiun;completado;alguna educacion superior;group C
10011873;Pago/Premiun;completado;grado asociado;group B
10011874;Gratis/Reducido;ninguna;grado asociado;group E
10011875;Gratis/Reducido;ninguna;licenciatura;group C
10011876;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011877;Pago/Premiun;ninguna;alguna educacion superior;group D
10011878;Pago/Premiun;ninguna;algun instituto;group C
10011879;Pago/Premiun;ninguna;algun instituto;group D
10011880;Pago/Premiun;ninguna;grado asociado;group D
10011881;Pago/Premiun;completado;licenciatura;group C
10011882;Pago/Premiun;completado;licenciatura;group E
10011883;Gratis/Reducido;ninguna;escuela secundaria;group B
10011884;Gratis/Reducido;ninguna;licenciatura;group D
10011885;Pago/Premiun;ninguna;grado asociado;group E
10011886;Pago/Premiun;completado;grado asociado;group C
10011887;Pago/Premiun;completado;grado asociado;group E
10011888;Gratis/Reducido;ninguna;escuela secundaria;group C
10011889;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011890;Gratis/Reducido;ninguna;escuela secundaria;group D
10011891;Pago/Premiun;completado;alguna educacion superior;group E
10011892;Pago/Premiun;ninguna;grado asociado;group E
10011893;Gratis/Reducido;ninguna;maestria;group A
10011894;Pago/Premiun;completado;algun instituto;group D
10011895;Pago/Premiun;ninguna;grado asociado;group E
10011896;Gratis/Reducido;ninguna;algun instituto;group E
10011897;Gratis/Reducido;ninguna;escuela secundaria;group B
10011898;Gratis/Reducido;completado;algun instituto;group B
10011899;Pago/Premiun;completado;grado asociado;group D
10011900;Pago/Premiun;completado;algun instituto;group D
10011901;Pago/Premiun;ninguna;maestria;group D
10011902;Pago/Premiun;ninguna;maestria;group C
10011903;Gratis/Reducido;completado;escuela secundaria;group A
10011904;Gratis/Reducido;completado;licenciatura;group D
10011905;Gratis/Reducido;ninguna;algun instituto;group D
10011906;Pago/Premiun;ninguna;alguna educacion superior;group D
10011907;Pago/Premiun;ninguna;escuela secundaria;group B
10011908;Pago/Premiun;completado;alguna educacion superior;group D
10011909;Gratis/Reducido;ninguna;licenciatura;group C
10011910;Pago/Premiun;completado;licenciatura;group E
10011911;Gratis/Reducido;ninguna;licenciatura;group D
10011912;Pago/Premiun;ninguna;alguna educacion superior;group A
10011913;Pago/Premiun;completado;licenciatura;group C
10011914;Gratis/Reducido;completado;licenciatura;group C
10011915;Gratis/Reducido;ninguna;grado asociado;group B
10011916;Pago/Premiun;ninguna;alguna educacion superior;group E
10011917;Pago/Premiun;completado;licenciatura;group E
10011918;Pago/Premiun;ninguna;escuela secundaria;group C
10011919;Pago/Premiun;completado;grado asociado;group C
10011920;Pago/Premiun;completado;alguna educacion superior;group B
10011921;Gratis/Reducido;ninguna;escuela secundaria;group D
10011922;Gratis/Reducido;ninguna;escuela secundaria;group C
10011923;Pago/Premiun;ninguna;escuela secundaria;group D
10011924;Gratis/Reducido;ninguna;grado asociado;group B
10011925;Gratis/Reducido;ninguna;escuela secundaria;group D
10011926;Pago/Premiun;completado;algun instituto;group E
10011927;Gratis/Reducido;ninguna;grado asociado;group E
10011928;Gratis/Reducido;completado;escuela secundaria;group D
10011929;Gratis/Reducido;completado;grado asociado;group E
10011930;Gratis/Reducido;ninguna;algun instituto;group C
10011931;Gratis/Reducido;completado;alguna educacion superior;group C
10011932;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011933;Gratis/Reducido;completado;grado asociado;group D
10011934;Gratis/Reducido;completado;licenciatura;group C
10011935;Pago/Premiun;completado;grado asociado;group C
10011936;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011937;Pago/Premiun;ninguna;grado asociado;group A
10011938;Gratis/Reducido;ninguna;escuela secundaria;group E
10011939;Pago/Premiun;completado;alguna educacion superior;group D
10011940;Pago/Premiun;completado;algun instituto;group D
10011941;Gratis/Reducido;completado;maestria;group C
10011942;Pago/Premiun;ninguna;maestria;group D
10011943;Pago/Premiun;ninguna;escuela secundaria;group C
10011944;Gratis/Reducido;completado;algun instituto;group A
10011945;Pago/Premiun;ninguna;escuela secundaria;group B
10011946;Pago/Premiun;ninguna;grado asociado;group C
10011947;Pago/Premiun;ninguna;escuela secundaria;group B
10011948;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011949;Gratis/Reducido;completado;algun instituto;group B
10011950;Gratis/Reducido;completado;escuela secundaria;group E
10011951;Pago/Premiun;ninguna;escuela secundaria;group E
10011952;Pago/Premiun;completado;alguna educacion superior;group D
10011953;Gratis/Reducido;ninguna;algun instituto;group E
10011954;Pago/Premiun;completado;escuela secundaria;group C
10011955;Pago/Premiun;ninguna;alguna educacion superior;group C
10011956;Pago/Premiun;ninguna;grado asociado;group E
10011957;Pago/Premiun;ninguna;alguna educacion superior;group C
10011958;Pago/Premiun;ninguna;maestria;group D
10011959;Pago/Premiun;ninguna;escuela secundaria;group D
10011960;Pago/Premiun;ninguna;escuela secundaria;group C
10011961;Pago/Premiun;ninguna;alguna educacion superior;group A
10011962;Gratis/Reducido;ninguna;algun instituto;group D
10011963;Pago/Premiun;ninguna;grado asociado;group E
10011964;Gratis/Reducido;completado;algun instituto;group C
10011965;Pago/Premiun;ninguna;alguna educacion superior;group D
10011966;Pago/Premiun;ninguna;alguna educacion superior;group D
10011967;Pago/Premiun;completado;algun instituto;group A
10011968;Pago/Premiun;ninguna;alguna educacion superior;group C
10011969;Pago/Premiun;ninguna;grado asociado;group E
10011970;Pago/Premiun;ninguna;licenciatura;group B
10011971;Pago/Premiun;ninguna;licenciatura;group D
10011972;Pago/Premiun;completado;algun instituto;group C
10011973;Gratis/Reducido;completado;escuela secundaria;group A
10011974;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011975;Pago/Premiun;ninguna;alguna educacion superior;group A
10011976;Pago/Premiun;completado;alguna educacion superior;group C
10011977;Gratis/Reducido;completado;alguna educacion superior;group B
10011978;Pago/Premiun;ninguna;grado asociado;group C
10011979;Pago/Premiun;completado;escuela secundaria;group D
10011980;Pago/Premiun;ninguna;grado asociado;group C
10011981;Gratis/Reducido;ninguna;escuela secundaria;group B
10011982;Pago/Premiun;ninguna;algun instituto;group D
10011983;Pago/Premiun;completado;algun instituto;group B
10011984;Pago/Premiun;completado;alguna educacion superior;group A
10011985;Pago/Premiun;ninguna;algun instituto;group C
10011986;Pago/Premiun;ninguna;escuela secundaria;group A
10011987;Pago/Premiun;ninguna;grado asociado;group C
10011988;Pago/Premiun;completado;algun instituto;group E
10011989;Gratis/Reducido;ninguna;algun instituto;group A
10011990;Gratis/Reducido;completado;alguna educacion superior;group D
10011991;Gratis/Reducido;completado;escuela secundaria;group E
10011992;Pago/Premiun;completado;algun instituto;group B
10011993;Gratis/Reducido;ninguna;grado asociado;group D
10011994;Gratis/Reducido;ninguna;licenciatura;group D
10011995;Pago/Premiun;ninguna;escuela secundaria;group A
10011996;Pago/Premiun;completado;maestria;group E
10011997;Gratis/Reducido;ninguna;escuela secundaria;group C
10011998;Gratis/Reducido;completado;escuela secundaria;group C
10011999;Pago/Premiun;completado;alguna educacion superior;group D
10012000;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012001;Pago/Premiun;ninguna;algun instituto;group D
10012002;Gratis/Reducido;ninguna;alguna educacion superior;group A
10012003;Pago/Premiun;ninguna;escuela secundaria;group B
10012004;Pago/Premiun;ninguna;licenciatura;group D
10012005;Gratis/Reducido;completado;algun instituto;group B
10012006;Gratis/Reducido;ninguna;licenciatura;group C
10012007;Pago/Premiun;ninguna;alguna educacion superior;group B
10012008;Gratis/Reducido;ninguna;algun instituto;group B
10012009;Pago/Premiun;ninguna;escuela secundaria;group B
